rt,trial_type,trial_index,time_elapsed,responses,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,mobile,flash,cookies,screen_size,block,sub_block
null,image-cpt,23,400745,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,24,402467,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,25,404186,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,26,406895,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,27,410112,,null,FALSE,,training,,,,,,,,,,,,,
349,image-cpt,28,412330,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,29,414047,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,30,416754,,null,FALSE,,training,,,,,,,,,,,,,
476,image-cpt,31,418969,,32,TRUE,,training,,,,,,,,,,,,,
517,image-cpt,32,421186,,32,TRUE,,training,,,,,,,,,,,,,
444,image-cpt,33,423907,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,34,425629,,null,FALSE,,training,,,,,,,,,,,,,
465,image-cpt,35,427841,,32,TRUE,,training,,,,,,,,,,,,,
13742,instructions,36,441583,,,,,,,,,,,,,,,,,,
1583,image-cpt,37,444800,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,38,446521,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,39,449736,,null,FALSE,,,,,,,,,,,,,,,
342,image-cpt,40,452954,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,41,454661,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,42,457883,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,43,460099,,null,FALSE,,,,,,,,,,,,,,,
427,image-cpt,44,462315,,32,TRUE,,,,,,,,,,,,,,,
514,image-cpt,45,464035,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,46,465752,,null,FALSE,,,,,,,,,,,,,,,
390,image-cpt,47,467473,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,48,470695,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,49,473917,,null,FALSE,,,,,,,,,,,,,,,
449,image-cpt,50,477139,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,51,479847,,null,FALSE,,,,,,,,,,,,,,,
550,image-cpt,52,482059,,32,TRUE,,,,,,,,,,,,,,,
754,image-cpt,53,485278,,32,TRUE,,,,,,,,,,,,,,,
496,image-cpt,54,487493,,32,TRUE,,,,,,,,,,,,,,,
